hira,kata,codes,family,notes
っどぅ,ッドゥ,ddwu,sokuon,
っどぇ,ッドェ,ddwe,sokuon,
っどぉ,ッドォ,ddwo,sokuon,
っびゃ,ッビャ,bbya,sokuon,
っびぃ,ッビィ,bbyi,sokuon,
っびゅ,ッビュ,bbyu,sokuon,
っびぇ,ッビェ,bbye,sokuon,
っびょ,ッビョ,bbyo,sokuon,
っぴゃ,ッピャ,ppya,sokuon,
っぴぃ,ッピィ,ppyi,sokuon,
っぴゅ,ッピュ,ppyu,sokuon,
っぴぇ,ッピェ,ppye,sokuon,
っぴょ,ッピョ,ppyo,sokuon,
っゔぁ,ッヴァ,vva,sokuon,
っゔぃ,ッヴィ,vvi | vvyi,sokuon,
っゔぇ,ッヴェ,vve | vvye,sokuon,
っゔぉ,ッヴォ,vvo,sokuon,
っゔゃ,ッヴャ,vvya,sokuon,
っゔゅ,ッヴュ,vvyu,sokuon,
っゔょ,ッヴョ,vvyo,sokuon,
